[ Start to listen on RaftAddr(ip=127.0.0.1, port=8001), peers size: 2] RaftProcess.hpp:47 2023-07-11 12:13:25.497126		
[ Switch to follower!] raft.cpp:108 2023-07-11 12:13:25.505043		
	[ Start to listen on RaftAddr(ip=127.0.0.1, port=8002), peers size: 2] RaftProcess.hpp:47 2023-07-11 12:13:25.534052	
	[ Switch to follower!] raft.cpp:108 2023-07-11 12:13:25.537546	
		[ Start to listen on RaftAddr(ip=127.0.0.1, port=8003), peers size: 2] RaftProcess.hpp:47 2023-07-11 12:13:25.566432
		[ Switch to follower!] raft.cpp:108 2023-07-11 12:13:25.568969
[ Election timeout, start a election.] raft.cpp:157 2023-07-11 12:13:25.812474		
[ Switch to Candidate!] raft.cpp:119 2023-07-11 12:13:25.812562		
[ Start a new election term!] raft.cpp:182 2023-07-11 12:13:25.812822		
	[ Vote to RaftAddr(ip=127.0.0.1, port=8001)] raft.cpp:67 2023-07-11 12:13:25.814185	
		[ Vote to RaftAddr(ip=127.0.0.1, port=8001)] raft.cpp:67 2023-07-11 12:13:25.814543
[ Raft nums: 3, get votes: 3] raft.cpp:236 2023-07-11 12:13:25.815613		
[ Switch to Leader! Term: 1] raft.cpp:130 2023-07-11 12:13:25.815685		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.816345		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.816355		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.839632		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.839684		
	[ Election timeout, start a election.] raft.cpp:157 2023-07-11 12:13:25.863528	
	[ Switch to Candidate!] raft.cpp:119 2023-07-11 12:13:25.863605	
	[ Start a new election term!] raft.cpp:182 2023-07-11 12:13:25.863865	
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.863940		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.864010		
[ Out of fashion vote request, term: 1, currentTerm: 1] raft.cpp:51 2023-07-11 12:13:25.864993		
		[ Receive a vote request, but already voted to (127.0.0.1, 8001), reject it.] raft.cpp:57 2023-07-11 12:13:25.865176
	[ Raft nums: 3, get votes: 1] raft.cpp:236 2023-07-11 12:13:25.865432	
		[ Election timeout, start a election.] raft.cpp:157 2023-07-11 12:13:25.878203
		[ Switch to Candidate!] raft.cpp:119 2023-07-11 12:13:25.878291
		[ Start a new election term!] raft.cpp:182 2023-07-11 12:13:25.878535
[ Out of fashion vote request, term: 1, currentTerm: 1] raft.cpp:51 2023-07-11 12:13:25.879572		
	[ Out of fashion vote request, term: 1, currentTerm: 1] raft.cpp:51 2023-07-11 12:13:25.879938	
		[ Raft nums: 3, get votes: 1] raft.cpp:236 2023-07-11 12:13:25.880128
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.887312		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.887337		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.911813		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.911849		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.936542		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.936578		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.961416		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.961431		
[ Raft become a leader, exit the checkLeaderStatus thread!] raft.cpp:166 2023-07-11 12:13:25.966832		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:25.985270		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:25.985291		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.009588		
